Master_ID,Master_Category,Product_Name,Grams,Price_Per_Grams,Selling_Price,Stock,Supplier,Variation_Name_Lazada,Product_ID_Lazada,SKU_ID_Lazada,Key_Lazada,Quantity_Lazada,Product_ID_Shopee,Variation_ID_Shopee,Variation_Name_Shopee,Product_ID_Tiktok,SKU_ID_Tiktok,Variation_Name_Tiktok,Category_Tiktok,Quantity_Tiktok
,Earrings,Pawnable 18K Gold Ball Earrings (ROSCAS),0.85 - 0.90,"9,000.00","10,125.00",,668,7 mm,1907330467,28312472829,721005cd073742b4888f94acad20544a,"1,000.00",28619370456,205604946665,7mm,1734609334185722922,1734609473467941930,7mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Saudi Gold Kitty Spiral Tictac,0.40 - 0.45,"9,000.00","5,062.00",,FG,5 mm,1993879780,132745593133,2c32d19e738652f5bc42cb8ddb3e83f0,6.00,29287473049,295341236650,,1734598321686610986,1734598325212578858,Default,Gold Earrings (956808),5
,Earrings,Pawnable 18K Saudi Gold Matte Cutting Clip Earrings (ASSORTED DESIGN),1.00 - 1.15,"9,000.00","12,937.00",,FG,11 mm,1999703964,132740021983,a3d1e0bb52ed1a945997de58d6d8f9f8,17.00,27236709215,234244626574,,1734586378622633002,1734586588424537130,Default,Gold Earrings (956808),20
,Earrings,Pawnable 18K Saudi Gold Stripes Texture Clip Earrings,1.48 - 1.56,"9,000.00","17,550.00",,FG,12 mm,1999720861,132740119366,8e7f3f07d0ba3b9423dce6dc6bfa7886,5.00,27993820697,430299015558,,1734586604342314026,1734586781982819370,Default,Gold Earrings (956808),5
,Earrings,Pawnable 18K Saudi Gold Tricolor Clip Earrings (ASSORTED DESIGN),1.00 - 1.15,"9,000.00","12,937.00",,FG,11 mm,1999831487,132744074188,86e7df28c2e51985bf3ea5daa91789c3,18.00,27836723925,227827783578,,1734586589274014762,1734586836166018090,Default,Gold Earrings (956808),20
,Earrings,Pawnable 18K Saudi Gold Matte Texture Clip Earrings,1.50 - 1.60 ,"9,000.00","18,000.00",,FG,12 mm,1999858330,132740185679,329373998bdf24d4954c788a66508efe,4.00,28210259211,256531762872,,1734586847665751082,1734586785387283498,Default,Gold Earrings (956808),5
,Pendant,Pawnable 18K Gold Crucifix Pendant,0.20 - 0.25,"9,000.00","2,812.00",1000,668,HALF,974252890,3214788995,5b7f0aac9fd18b3fe1f5f8386ae2769e,"1,000.00",52160316348,262608966029,HALF,1735536684454741034,1735536739329213482,HALF,Gold Necklaces & Pendants (956424),1000
,Pendant,Pawnable 18K Gold Crucifix Pendant,0.25 - 0.30,"9,000.00","3,375.00",1000,668,FULL,974252890,133153862903,b888bdb41720390d9cc0a45bd8fb8c40,"1,000.00",52160316348,262608966030,FULL,1735536684454741034,1735536739329279018,FULL,Gold Necklaces & Pendants (956424),1000
,Bracelet_Anklet,Pawnable 18K Saudi Gold Slim Sedusa Bracelet,1.62 - 1.67,"9,000.00","18,787.00",1000,FG,19 cm,1548656691,133093182709,49004859f03df5af76f30cf4eb0b234d,,21784384898,139082978996,19cm,1735238677637596202,1735238742792832042,19cm,Platinum & Carat Gold Bracelets & Anklets (955784),20
,Necklace,Pawnable 18K Saudi Gold Slim Rope Chain Necklace,0.85 - 0.95,"9,000.00","10,687.00",1000,GS,20 Inches,974366486,133135168215,1e2cdf7f0455ba0009be8dd816fc9eee,,25708006688,157559164577,20 Inches,1735429418201023530,1735429376053052458,20 Inches,Gold Necklaces & Pendants (956424),10
,Earrings,Pawnable 18K Saudi Gold Heart Hoop Earrings (ELECTROFORM),1.45 - 1.50,"8,800.00","16,500.00",,SK,19 mm,15475702883,133101060802,c17926c507867f48f29607d733e3f7b2,14.00,45208761157,440775734038,,1735113701129880618,1735113755437859882,Default,Gold Earrings (956808),5
,Earrings,Pawnable 18K Saudi Gold Knot Earrings (ELECTROFORM),0.50 - 0.55,"8,800.00","6,050.00",,SK,7 mm,15475736870,133278780635,2919428f21515250962a97ecb428dbc0,10.00,47208199810,272705070400,,1734972666706428970,1736127730601395242,7mm,Gold Earrings (956808),5
,Earrings,Pawnable 18K Saudi Gold Knot Earrings (ELECTROFORM),0.95 - 1.05,"8,800.00","11,550.00",,SK,14 mm,15475736870,133094173844,f5b4472c961cfb85c60a519eda455032,9.00,47208199810,272705070401,,1734972666706428970,1736127730601460778,14mm,Gold Earrings (956808),5
,Ring,Pawnable 18K Gold Couple Plain Wedding Ring,0.80 - 1.00,"8,800.00","11,000.00",,668,"7.5,6.5",4925841957,28693599299,2c9fb109b04de3f8be3fb5828759cad5,,,,,1735802519038362666,1735802718126572586,"7.5, 6.5",Gold Rings (956552),1000
,Ring,Pawnable 18K Gold Couple Plain Wedding Ring,0.80 - 1.00,"8,800.00","11,000.00",,668,"7,6.5",4925841957,28693599298,cf58bb51a41183500b30ab42bf981795,,,,,1735802519038362666,1735802755423503402,"7, 6.5",Gold Rings (956552),1000
,Ring,Pawnable 18K Gold Couple Plain Wedding Ring,0.80 - 1.00,"8,800.00","11,000.00",,668,"6.5,6.5",4925841957,28693599297,5c3d080899b6313e7eacbe41105af2c0,,,,,1735802519038362666,1735802755422520362,"6.5, 6.5",Gold Rings (956552),1000
,Ring,Pawnable 18K Gold Couple Plain Wedding Ring,0.80 - 1.00,"8,800.00","11,000.00",,668,"6,6.5",4925841957,28693599296,d8be39c756aaf11cf799c3f73d4ad09f,,,,,1735802519038362666,1735802755421537322,"6, 6.5",Gold Rings (956552),1000
,Ring,Pawnable 18K Gold Couple Plain Wedding Ring,0.85 - 1.05,"8,800.00","11,550.00",,668,"9.5,6.5",4925841957,28693599303,46100d986f20a5d4dca1cf03e0e11a3a,,,,,1735802519038362666,1735802732226708522,"9.5, 6.5",Gold Rings (956552),1000
,Ring,Pawnable 18K Gold Couple Plain Wedding Ring,0.85 - 1.05,"8,800.00","11,550.00",,668,"9,6.5",4925841957,28693599302,2b93a2365ef5560c0c644d2bda3be6c3,,,,,1735802519038362666,1735802732225725482,"9, 6.5",Gold Rings (956552),1000
,Ring,Pawnable 24K Gold Solid Slim Plain Ring,0.90 - 0.95,"9,500.00","11,281.00",,668,3.5,15535013004,133308052152,e766b5a67097dd293d3a11c6292ff312,,48562850361,396112299708,3.5,1736246071621944362,1736246114444608554,3.5,Gold Rings (956552),1000
,Ring,Pawnable 24K Gold Solid Slim Plain Ring,0.90 - 0.95,"9,500.00","11,281.00",,668,4,15535013004,133308052153,39b5d27b3c1f43c28a985cabd4ec58c5,,48562850361,396112299709,4,1736246071621944362,1736246114444674090,4,Gold Rings (956552),1000
,Ring,Pawnable 24K Gold Solid Slim Plain Ring,0.90 - 0.95,"9,500.00","11,281.00",,668,4.5,15535013004,133308052154,1fafbc004e4e5c6fe63e8fb2cd717bf0,,48562850361,396112299710,4.5,1736246071621944362,1736246114444739626,4.5,Gold Rings (956552),1000
,Ring,Pawnable 24K Gold Solid Slim Plain Ring,0.90 - 0.95,"9,500.00","11,281.00",,668,5,15535013004,133308052155,ec0d10a84236b1809b18194637d93879,,48562850361,396112299711,5,1736246071621944362,1736246114444805162,5,Gold Rings (956552),1000
,Ring,Pawnable 24K Gold Solid Slim Plain Ring,0.90 - 0.95,"9,500.00","11,281.00",,668,5.5,15535013004,133308052156,08bdb6ea8581602ac1541e59dfeddd12,,48562850361,396112299712,5.5,1736246071621944362,1736246114444870698,5.5,Gold Rings (956552),1000
,Ring,Pawnable 24K Gold Solid Slim Plain Ring,0.90 - 0.95,"9,500.00","11,281.00",,668,6,15535013004,133308052157,468699fc428df4bbbad7089b627d8203,,48562850361,396112299713,6,1736246071621944362,1736246114444936234,6,Gold Rings (956552),1000
,Ring,Pawnable 24K Gold Solid Slim Plain Ring,0.95 - 1.00,"9,500.00","11,875.00",,668,6.5,15535013004,133308052158,7c1334fcaf3d7a0310b2dc1e5f909187,,48562850361,396112299714,6.5,1736246071621944362,1736246114445001770,6.5,Gold Rings (956552),1000
,Other,Pawnable 24K Gold Bar (AL ETIHAD),1.00,,"16,000.00",,FG,1g,15467174609,133070978095,6ece8b8461057d74af97104dcc03452b,20.00,54958909923,440862555448,1g,1735152354944648234,1735383069753246762,1g,Gold Jewelry Sets (956936),5
,Other,Pawnable 24K Gold Bar (AL ETIHAD),2.50,,"40,000.00",,FG,2.5g,15467174609,133128050125,b927d99cfe33de0bbcd743d4e828cb17,20.00,54958909923,440862555449,2.5g,1735152354944648234,1735383069753312298,2.5g,Gold Jewelry Sets (956936),5
,Earrings,Pawnable 18K Gold Pearl Earrings,0.70 - 0.75,"9,000.00","4,125.00",,668,5.5mm,870216880,132713989116,b68a2836f006e8f1400cdb284e102362,"1,000.00",43601384510,287443341607,5.5mm,1734569806549845034,1734569705018524714,5.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Pearl Earrings,2.20 - 2.25,"9,000.00","4,375.00",,668,10mm,870216880,132713989117,f8d14b7e1673e942e0919bbe20f2f9e9,998.00,43601384510,287443341608,10mm,1734569806549845034,1734569705018590250,10mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Pearl Barbel Earrings (Screw Type),0.85 - 0.90,"9,000.00","6,250.00",,668,1 PAIR,3847754847,132686360964,720f769e2e3bfb922cbc59f8392480bc,"1,000.00",26668276868,178553137065,1 PAIR,1734505741805519914,1734505805887407146,1 PAIR,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Pearl Barbel Earrings (Screw Type),0.40 - 0.45,"9,000.00","3,125.00",,668,1 PIECE,3847754847,132686360963,413fbcfd69ce06787b00451016a538dc,"1,000.00",26668276868,178553137064,1 PIECE,1734505741805519914,1734505805887341610,1 PIECE,Gold Earrings (956808),1000
